Province,Average
BANGKOK,115402.2444
NAKHON PATHOM,47854.25
NONTHABURI,99052.04545
PATHUM THANI,69280.175
SAMUT PRAKAN,72102.92308
SAMUT SAKHON,49987.16667
CHIANG RAI,20809.6
PHETCHABUN,37414
KRABI,22021.5
KAMPHAENG PHET,18879.55556
KHON KAEN,39723.5
CHANTHABURI,23228.5
CHACHOENGSAO,55479.33333
CHON BURI,54926.38889
CHAI NAT,11409.33333
CHUMPHON,15857
TRANG,12916.7
TRAT,7144.666667
TAK,13021
NAKHON RATCHASIMA,55556.90476
NAKHON SAWAN,18172.91667
PRACHUAP KHIRI KHAN,22988.3
PHRA NAKHON SI AYUTTHAYA,163084
PHAYAO,18123.41667
PHANGNGA,9880.4
PHATTHALUNG,26367.66667
RANONG,6067.333333
RAYONG,33474.66667
RATCHABURI,54398.875
LOP BURI,14133
LAMPANG,21227.77778
SONGKHLA,28512.25
SARABURI,66294.83333
NONG KHAI,21491
UDON THANI,21363.25
